,address,issue_reported,location_latitude,location_longitude,published_date
0,15436 Fm 1825 Rd,Crash Urgent,30.447823,-97.662267,2018-02-05
1,N Mopac Expy Svrd Sb & W Anderson Ln,Traffic Hazard,30.361209,-97.745268,2017-12-01
2,W William Cannon Dr & Brodie Ln,Crash Service,30.213794,-97.830349,2018-01-23
3,1800 E Stassney Ln,Traffic Hazard,30.196998,-97.760701,2018-01-24
4,2453 E SH 71 SVRD WB,Crash Service,30.213473,-97.659149,2017-12-15
5,N Ih 35 Svrd Sb & E Cesar Chavez St,zSTALLED VEHICLE,30.261230,-97.736767,2017-10-18
6,1700-1930 W Dittmar Rd,Traffic Impediment,30.185598,-97.812579,2017-10-18
7,4310 Bee Caves Rd,COLLISION,30.285479,-97.812326,2017-10-18
8,0 N Mopac Nb At Mopac Railro Trn,Traffic Hazard,30.401971,-97.728792,2017-10-18
9,700-717 E 5th St,Crash Service,30.265218,-97.736408,2017-10-18
10,7806-7899 Woodrow Ave,Crash Urgent,30.352207,-97.723261,2017-10-18
11,7900-7999 N MOPAC EXPY SVRD NB,Traffic Hazard,30.361598,-97.743869,2017-10-18
12,9210 Cameron Rd,Crash Service,30.348984,-97.676554,2017-10-18
13,Jollyville Rd & Barrington Way,Crash Service,30.433105,-97.768612,2017-10-18
14,12239-12251 Harris Branch Pkwy,Crash Service,30.367675,-97.613282,2017-10-18
15,4306 Deepwoods Dr,Crash Urgent,30.366144,-97.768990,2017-10-18
16,2525 W Anderson Ln,Crash Service,30.356893,-97.732475,2017-10-18
17,9900 Research Blvd Sb,Traffic Hazard,30.391170,-97.746028,2017-10-18
18,W Us 290 Hwy Svrd Wb & Stearns Ln,Traffic Hazard,30.233998,-97.811051,2017-10-18
19,20711 POSTOAK PKWY,LOOSE LIVESTOCK,30.277203,-97.488897,2017-10-18
20,5812 N Ih 35 Svrd Sb,Crash Service,30.318916,-97.707671,2017-10-18
21,0 Northland To Mopac Sb Ramp,Traffic Hazard,30.335718,-97.756033,2017-10-18
22,Burleson Rd & Emma Browning Ave,Crash Service,30.173174,-97.670556,2017-10-18
23,Banton Rd & Manor Rd,Traffic Impediment,30.286035,-97.708016,2017-10-18
24,E 290 Wb To Ih 35 Sb Ramp & N Ih 35 Sb,Traffic Hazard,30.315994,-97.707815,2017-10-18
25,16000-blk N Ih 35 Sb,TRFC HAZD/ DEBRIS,30.457232,-97.666753,2017-10-18
26,1200-1651 N MOPAC EXPY NB,Traffic Hazard,30.287305,-97.762739,2017-10-18
27,1800 S Ih 35 Nb,zSTALLED VEHICLE,30.240063,-97.737311,2017-10-18
28,13600-14124 N Sh 130 Sb,COLLISION WITH INJURY,30.386399,-97.579158,2017-10-18
29,9010 Collinfield Dr,Crash Urgent,30.362706,-97.704478,2017-10-18
30,7300 N Ih 35 Nb,Crash Urgent,30.334124,-97.703111,2017-10-18
31,W HOWARD LN & AVENUE N,COLLISION,30.430895,-97.684754,2017-10-18
32,1700-1944 E William Cannon Dr,Traffic Hazard,30.189086,-97.767282,2017-10-18
33,4800 N Ih 35 Nb,Traffic Hazard,30.306805,-97.711942,2017-10-18
34,1700-1930 W Dittmar Rd,Traffic Hazard,30.185655,-97.812974,2017-10-18
35,6501-6505 MC KINNEY FALLS PKWY,Traffic Impediment,30.171646,-97.722126,2017-10-18
36,6814 POINT NORTH DR,COLLISN/ LVNG SCN,30.307980,-97.638149,2017-10-18
37,5100 S Ih 35 Svrd Sb,zSTALLED VEHICLE,30.204364,-97.759817,2018-02-24
38,6200-BLK DECKER LN,COLLISION WITH INJURY,30.28824,-97.629906,2018-02-23
39,Shoreline Dr & Burnet Rd,TRFC HAZD/ DEBRIS,30.46065,-97.694703,2018-02-23
40,10800-11525 Fm 2222 Rd,Traffic Hazard,30.403618,-97.853968,2018-02-23
41,E Riverside Dr & Alameda Dr,Crash Urgent,30.250713,-97.740508,2018-02-23
42,Northland Dr & N Mopac Expy Svrd Sb,Crash Urgent,30.336785,-97.755956,2018-02-24
43,11431-11749 E Us 290 Hwy Eb,COLLISN/ LVNG SCN,30.3491,-97.546552,2018-02-09
44,1000 BRAZOS ST,Crash Service,30.271429,-97.740083,2018-02-09
45,10610 Salt Mill Hollow,Crash Urgent,30.454027,-97.807615,2018-02-05
46,Northland Dr & N Mopac Nb To Northland Ramp,Crash Urgent,30.335529,-97.753726,2018-02-05
47,S 1st St & W Riverside Dr,Traffic Hazard,30.259758,-97.749276,2018-02-05
48,1720 W Wells Branch Pkwy,COLLISION/PRIVATE PROPERTY,30.438559,-97.672417,2018-01-23
49,300-325 E Ben White Blvd Eb,Traffic Hazard,30.221358,-97.761355,2018-01-23
50,601 E St Johns Ave,Traffic Impediment,30.333592,-97.705852,2018-01-23
51,N Mopac Expy Nb & Research Nb To Mopac Nb Ramp,Traffic Hazard,30.385016,-97.735336,2018-01-23
52,8100-8106 E Parmer Ln,TRFC HAZD/ DEBRIS,30.353247,-97.593778,2018-01-23
53,8600 RESEARCH BLVD NB,Crash Urgent,30.361761,-97.716934,2018-01-23
54,Lavaca St & W Martin Luther King Jr Blvd,Traffic Impediment,30.281328,-97.740508,2018-01-23
55,Smith Rd & Ed Bluestein Blvd Sb,Traffic Impediment,30.259359,-97.675469,2018-01-23
56,13300-13750 Avery Ranch Blvd,Traffic Hazard,30.490362,-97.799948,2018-01-23
57,1826 Logans Hollow Dr,COLLISION,30.309317,-97.79585,2018-01-23
58,8613-9115 E Us 290 Hwy Eb,Traffic Hazard,30.328568,-97.655336,2018-01-23
59,9200 Research Blvd Sb,Traffic Hazard,30.377134,-97.734377,2018-01-23
60,4600-blk E Sh 71 Eb,COLLISION,30.187045,-97.602676,2018-01-23
61,1100 W Cesar Chavez St,zSTALLED VEHICLE,30.267707,-97.758001,2018-01-24
62,10323 E Us 290 Hwy Svrd Eb,COLLISION,30.345789,-97.572906,2018-01-23
63,5715 Mesa Dr,Traffic Hazard,30.342324,-97.769983,2018-01-23
64,W William Cannon Dr & W Us 290 Hwy,Traffic Hazard,30.234061,-97.864779,2018-01-23
65,11220 N IH 35 SVRD SB,Crash Service,30.376405,-97.676945,2018-01-23
66,4200 N Ih 35 Upper Deck Nb,Traffic Hazard,30.299486,-97.716512,2018-01-23
67,9213 WILLIAMSON RD,LOOSE LIVESTOCK,30.02992,-97.702708,2018-01-23
68,0 S Ih 35 Sb To Ben White Ramp,Traffic Hazard,30.217427,-97.751952,2018-01-23
